TF (knockdown),Gene Symbol,Logratio(log10),Fold change
Cdc5l,4930579K19Rik,0.3904,2.456
Cdc5l,A630050E13Rik,0.3877,2.441
Cdc5l,Rpl7,0.3852,2.427
Cdc5l,Arnt,0.3827,2.413
Cdc5l,Acp2,0.3809,2.403
Cdc5l,Gm166,0.3804,2.401
Cdc5l,9330160F10Rik,0.3774,2.384
Cdc5l,Ncoa2,0.3705,2.346
Cdc5l,Snhg1,0.3698,2.343
Cdc5l,Traf6,0.3679,2.332
Cdc5l,D730045B01Rik,0.3631,2.307
Cdc5l,Stx3,0.3545,2.262
Cdc5l,Nkx2-5,0.3542,2.26
Cdc5l,Bdnf,0.354,2.259
Cdc5l,D13Wsu177e,0.3531,2.254
Cdc5l,2810001A02Rik,0.3492,2.234
Cdc5l,Whsc2,0.3491,2.234
Cdc5l,Srr,0.3474,2.225
Cdc5l,2410131K14Rik,0.3456,2.216
Cdc5l,Klhl11,0.3443,2.209
Cdc5l,Dnajc18,0.3441,2.208
Cdc5l,Pfkfb4,0.3435,2.205
Cdc5l,Mical3,0.3423,2.199
Cdc5l,Atp6v0e2,0.3415,2.195
Cdc5l,Med13,0.3403,2.189
Cdc5l,Nr2c1,0.3365,2.17
Cdc5l,Dnajb3,0.336,2.167
Cdc5l,Ube2w,0.336,2.167
Cdc5l,Snai1,0.3311,2.143
Cdc5l,Tapbpl,0.3304,2.139
Cdc5l,Snord35b,0.3284,2.13
Cdc5l,1700003M07Rik,0.3252,2.114
Cdc5l,1500015A07Rik,0.3241,2.109
Cdc5l,BC019943,0.3167,2.073
Cdc5l,Ccdc114,0.3074,2.029
Cdc5l,Gm1943,0.3071,2.028
Cdc5l,Ndn,0.3029,2.008
Cdc5l,Pdrg1,0.3029,2.008
Cdc5l,EG628040,0.3023,2.005
Cdc5l,1110038B12Rik,0.3012,2
Cdc5l,Adk,-0.3015,0.4994
Cdc5l,1600020E01Rik,-0.3043,0.4962
Cdc5l,Pipox,-0.3045,0.496
Cdc5l,Txnrd3,-0.3075,0.4926
Cdc5l,Inpp5a,-0.3075,0.4926
Cdc5l,Senp1,-0.3082,0.4918
Cdc5l,Dnajc19,-0.3087,0.4912
Cdc5l,Smyd3,-0.3091,0.4907
Cdc5l,Armc8,-0.3094,0.4904
Cdc5l,BC004728,-0.3098,0.49
Cdc5l,Fzd9,-0.3134,0.4859
Cdc5l,A530017D24Rik,-0.3166,0.4823
Cdc5l,Socs3,-0.3223,0.4761
Cdc5l,Acp6,-0.3235,0.4747
Cdc5l,B830008H07Rik,-0.3246,0.4735
Cdc5l,Phf19,-0.3253,0.4728
Cdc5l,Plxna3,-0.3274,0.4705
Cdc5l,Sfrs7,-0.3291,0.4687
Cdc5l,Msi2,-0.33,0.4677
Cdc5l,Grtp1,-0.3322,0.4653
Cdc5l,Bcl3,-0.334,0.4634
Cdc5l,Tgif2,-0.3362,0.4611
Cdc5l,Nasp,-0.3389,0.4582
Cdc5l,5830418K08Rik,-0.3394,0.4577
Cdc5l,2900009J20Rik,-0.34,0.457
Cdc5l,2310067E19Rik,-0.3418,0.4551
Cdc5l,Mxd3,-0.3418,0.4551
Cdc5l,Lphn1,-0.3435,0.4534
Cdc5l,Ptprg,-0.3438,0.4531
Cdc5l,Rsbn1l,-0.344,0.4528
Cdc5l,Zfp414,-0.3453,0.4515
Cdc5l,Rdm1,-0.3463,0.4505
Cdc5l,1110007A13Rik,-0.3476,0.4491
Cdc5l,Zfp827,-0.3487,0.448
Cdc5l,Athl1,-0.3499,0.4467
Cdc5l,3010003L21Rik,-0.3517,0.4449
Cdc5l,Pecr,-0.3535,0.443
Cdc5l,H1f0,-0.3551,0.4414
Cdc5l,Kcna7,-0.3593,0.4372
Cdc5l,Hrsp12,-0.3594,0.4371
Cdc5l,Cdc73,-0.3598,0.4367
Cdc5l,Fbxl17,-0.3598,0.4367
Cdc5l,4931440B09Rik,-0.3605,0.436
Cdc5l,Etv1,-0.3605,0.436
Cdc5l,Trim33,-0.3617,0.4348
Cdc5l,Fbxo27,-0.364,0.4325
Cdc5l,Tspan17,-0.3659,0.4306
Cdc5l,Abca4,-0.3669,0.4296
Cdc5l,Rapgef5,-0.3672,0.4293
Cdc5l,0610010F05Rik,-0.3673,0.4292
Cdc5l,Slc1a4,-0.3675,0.429
Cdc5l,1500001M20Rik,-0.3688,0.4277
Cdc5l,Rnf5,-0.3711,0.4255
Cdc5l,Mapk11,-0.3715,0.4251
Cdc5l,Mirg,-0.3744,0.4222
Cdc5l,9630027E11,-0.3758,0.4209
Cdc5l,Diap2,-0.3776,0.4191
Cdc5l,Mthfd1l,-0.3806,0.4162
Cdc5l,Cacna2d3,-0.3863,0.4108
Cdc5l,Gfm2,-0.3866,0.4105
Cdc5l,Gspt1,-0.3888,0.4085
Cdc5l,Spag4,-0.3899,0.4074
Cdc5l,Flywch2,-0.3921,0.4054
Cdc5l,Gpr155,-0.3935,0.4041
Cdc5l,Pycr1,-0.3945,0.4031
Cdc5l,1700001O22Rik,-0.3969,0.4009
Cdc5l,Arnt2,-0.3972,0.4006
Cdc5l,4930465K10Rik,-0.3984,0.3995
Cdc5l,Diras1,-0.3998,0.3982
Cdc5l,Gtlf3a,-0.4015,0.3967
Cdc5l,Trap1,-0.402,0.3962
Cdc5l,Ap4s1,-0.4041,0.3943
Cdc5l,Accn2,-0.4134,0.386
Cdc5l,D230016O17,-0.4172,0.3826
Cdc5l,Plp1,-0.4241,0.3766
Cdc5l,Trim37,-0.4253,0.3755
Cdc5l,D16Ertd472e,-0.427,0.3741
Cdc5l,Dhrs7,-0.4289,0.3724
Cdc5l,A230083N12Rik,-0.4308,0.3708
Cdc5l,Tnpo1,-0.4436,0.36
Cdc5l,Aifm3,-0.4508,0.3541
Cdc5l,1700012A16Rik,-0.4511,0.3539
Cdc5l,Caps2,-0.4531,0.3522
Cdc5l,Uty,-0.4537,0.3518
Cdc5l,Rad9b,-0.4544,0.3512
Cdc5l,6430411K18Rik,-0.4585,0.3479
Cdc5l,4930452B06Rik,-0.4604,0.3464
Cdc5l,D930009K15Rik,-0.4645,0.3431
Cdc5l,Mettl5,-0.4663,0.3417
Cdc5l,Ttc7,-0.4669,0.3412
Cdc5l,Nudt19,-0.4675,0.3408
Cdc5l,Dnmt3a,-0.4699,0.3389
Cdc5l,Nfx1,-0.4717,0.3375
Cdc5l,Fbxo17,-0.4731,0.3364
Cdc5l,Gpt2,-0.4741,0.3356
Cdc5l,Naprt1,-0.4773,0.3331
Cdc5l,Adhfe1,-0.4783,0.3324
Cdc5l,Camkv,-0.4818,0.3297
Cdc5l,Plcd1,-0.5087,0.3099
Cdc5l,Cdc5l,-0.5136,0.3064
Cdc5l,Sox12,-0.5173,0.3038
Cdc5l,B830012L14Rik,-0.5207,0.3015
Cdc5l,Meg3,-0.5276,0.2967
Cdc5l,A930024E05Rik,-0.5319,0.2938
Cdc5l,4930473A06Rik,-0.5627,0.2737
Cdc5l,Pde4d,-0.5779,0.2643
Cdc5l,Fgl2,-0.5839,0.2606
Cdc5l,Pitpnc1,-0.5887,0.2578
Cdc5l,Clnk,-0.6015,0.2503
Cdc5l,Pdk1,-0.6472,0.2253
Cdc5l,Matn3,-0.9744,0.106
Cdyl,Ifi44,0.8799,7.584
Cdyl,5830457O10Rik,0.6118,4.09
Cdyl,Tnrc4,0.5994,3.975
Cdyl,Fyb,0.5738,3.748
Cdyl,1700026N04Rik,0.5623,3.65
Cdyl,4930599A14Rik,0.4511,2.825
Cdyl,4930546K05Rik,0.4462,2.793
Cdyl,Macrod1,0.3879,2.442
Cdyl,Tigd3,0.3448,2.212
Cdyl,Cdyl,-0.4945,0.3202
Cdyl2,Cdyl2,-0.7477,0.1787
Ctbp2,Igk-V38,0.4127,2.586
Ctbp2,Gpx2,0.3551,2.265
Ctbp2,2700033N17Rik,0.3419,2.197
Ctbp2,Sort1,-0.3028,0.4979
Ctbp2,Rims4,-0.3414,0.4556
Ctbp2,1300007F04Rik,-0.3418,0.4551
Ctbp2,Padi2,-0.3465,0.4502
Ctbp2,Adcyap1r1,-0.4674,0.3408
Ctbp2,Ctbp2,-0.6805,0.2086
Ctnnb1,Ctnnb1,-0.7731,0.1686
Dmrt1,Dmrt1,-0.5847,0.2601
Dnmt3b,3110003A17Rik,-0.4351,0.3671
Dnmt3b,LOC668932,-0.79,0.1621
Dnmt3b,Dnmt3b,-0.835,0.1462
