TF (knockdown),Gene Symbol,Logratio(log10),Fold change
Esrrb,Sp6,0.3501,2.239
Esrrb,Capn2,0.3501,2.239
Esrrb,Afap1,0.35,2.238
Esrrb,Hoxd9,0.3499,2.238
Esrrb,A030003K02Rik,0.3497,2.237
Esrrb,C530028O21Rik,0.3497,2.237
Esrrb,Ptk7,0.3496,2.236
Esrrb,LOC632536,0.3495,2.236
Esrrb,1700025K24Rik,0.3494,2.235
Esrrb,Tshr,0.3494,2.235
Esrrb,Spnb1,0.3493,2.235
Esrrb,Crybb1,0.3492,2.234
Esrrb,C77623,0.3492,2.234
Esrrb,Olfr564,0.349,2.233
Esrrb,4930562A09Rik,0.349,2.233
Esrrb,Lad1,0.3483,2.229
Esrrb,Gm996,0.3477,2.226
Esrrb,LOC229837,0.3477,2.226
Esrrb,Gpr6,0.3474,2.225
Esrrb,C130075A20Rik,0.3474,2.225
Esrrb,Lmod1,0.3473,2.224
Esrrb,Dll3,0.3473,2.224
Esrrb,Bach1,0.3472,2.224
Esrrb,Apol9a,0.3471,2.223
Esrrb,Lzts2,0.347,2.223
Esrrb,Rhoj,0.347,2.223
Esrrb,Npal2,0.3468,2.222
Esrrb,Dll1,0.3464,2.22
Esrrb,Meis2,0.3464,2.22
Esrrb,OTTMUSG00000015351,0.3463,2.219
Esrrb,Slamf9,0.3462,2.219
Esrrb,LOC208347,0.3462,2.219
Esrrb,Kctd10,0.3458,2.217
Esrrb,A030014E15Rik,0.3458,2.217
Esrrb,Zfp583,0.3458,2.217
Esrrb,A230069A22Rik,0.3458,2.217
Esrrb,Tnfsf13b,0.3457,2.216
Esrrb,Cdkn1a,0.345,2.213
Esrrb,Cd248,0.3449,2.212
Esrrb,Tmcc1,0.3447,2.211
Esrrb,Zfyve16,0.3446,2.211
Esrrb,4931408C20Rik,0.3446,2.211
Esrrb,4930459I23Rik,0.3443,2.209
Esrrb,Hmox1,0.3443,2.209
Esrrb,Rab11fip5,0.3441,2.208
Esrrb,D19Ertd79e,0.344,2.208
Esrrb,Gzmg,0.344,2.208
Esrrb,C85319,0.3435,2.205
Esrrb,Slc27a6,0.3433,2.204
Esrrb,Epha1,0.3432,2.203
Esrrb,Hsd3b5,0.3431,2.203
Esrrb,Tcta,0.343,2.202
Esrrb,Snx8,0.3427,2.201
Esrrb,5730409N16Rik,0.3425,2.2
Esrrb,C79927,0.3424,2.199
Esrrb,5830408C22Rik,0.3422,2.198
Esrrb,2010001A14Rik,0.3422,2.198
Esrrb,Msx2,0.3419,2.197
Esrrb,Fas,0.3419,2.197
Esrrb,Ccdc78,0.3417,2.196
Esrrb,Pax3,0.3415,2.195
Esrrb,Hoxb1,0.3414,2.194
Esrrb,H1foo,0.3413,2.194
Esrrb,LOC624772,0.3413,2.194
Esrrb,Sox30,0.3412,2.193
Esrrb,Catsper4,0.3402,2.188
Esrrb,1600010M07Rik,0.3402,2.188
Esrrb,Prom1,0.3399,2.187
Esrrb,Zdhhc9,0.3399,2.187
Esrrb,Foxc1,0.3399,2.187
Esrrb,Phldb3,0.3398,2.186
Esrrb,1010001B22Rik,0.3394,2.184
Esrrb,Pcdha9,0.3393,2.184
Esrrb,Foxa2,0.3392,2.183
Esrrb,Oxct2b,0.339,2.182
Esrrb,Slc22a15,0.339,2.182
Esrrb,2210403K04Rik,0.3388,2.181
Esrrb,Car15,0.3386,2.18
Esrrb,Sparc,0.3382,2.178
Esrrb,Colec12,0.338,2.177
Esrrb,BC023105,0.3379,2.177
Esrrb,2210404O07Rik,0.3377,2.176
Esrrb,Ebi2,0.3377,2.176
Esrrb,Pip4k2c,0.3376,2.175
Esrrb,9930021J17Rik,0.3376,2.175
Esrrb,Dysf,0.3376,2.175
Esrrb,Aim1,0.3375,2.175
Esrrb,9930021D14Rik,0.3375,2.175
Esrrb,4930455H04Rik,0.3372,2.173
Esrrb,D13Ertd150e,0.3372,2.173
Esrrb,Palm2-akap2,0.3371,2.173
Esrrb,Il6,0.3371,2.173
Esrrb,4921511I17Rik,0.337,2.172
Esrrb,Rin3,0.3369,2.172
Esrrb,Gpr27,0.3364,2.169
Esrrb,Csf1,0.3361,2.168
Esrrb,Itgbl1,0.3359,2.167
Esrrb,Tmem43,0.3358,2.166
Esrrb,Sox18,0.3354,2.164
Esrrb,4930474N05Rik,0.3354,2.164
Esrrb,Grm1,0.335,2.162
Esrrb,A930005I04Rik,0.335,2.162
Esrrb,Id3,0.335,2.162
Esrrb,4930557C09Rik,0.3346,2.16
Esrrb,Cdh4,0.3346,2.16
Esrrb,4632433K11Rik,0.3345,2.16
Esrrb,Dhh,0.3344,2.159
Esrrb,Zfp503,0.3341,2.158
Esrrb,Serpine1,0.3341,2.158
Esrrb,Gm949,0.3339,2.157
Esrrb,Foxk1,0.3339,2.157
Esrrb,Mbnl2,0.3339,2.157
Esrrb,Sh2d4a,0.3339,2.157
Esrrb,EG665712,0.3339,2.157
Esrrb,A430078G23Rik,0.3339,2.157
Esrrb,Pam,0.3337,2.156
Esrrb,Rhox9,0.3336,2.155
Esrrb,Ccl7,0.3333,2.154
Esrrb,Sec31b,0.3332,2.153
Esrrb,Mbnl3,0.3331,2.153
Esrrb,Plec1,0.3329,2.152
Esrrb,Tnfaip1,0.3326,2.15
Esrrb,Cdc42ep1,0.3324,2.149
Esrrb,C79476,0.3323,2.149
Esrrb,Plekho1,0.3322,2.148
Esrrb,Npas4,0.332,2.147
Esrrb,4933402P03Rik,0.332,2.147
Esrrb,Rasl11b,0.3319,2.147
Esrrb,Ovol2,0.3319,2.147
Esrrb,Kank1,0.3319,2.147
Esrrb,Esx1,0.3318,2.146
Esrrb,Shisa5,0.3316,2.145
Esrrb,Adamts20,0.3316,2.145
Esrrb,Tubb6,0.3314,2.144
Esrrb,EG666105,0.3312,2.143
Esrrb,LOC622734,0.3312,2.143
Esrrb,Cldn1,0.3311,2.143
Esrrb,Arntl2,0.3306,2.14
Esrrb,Ascl2,0.3305,2.14
Esrrb,EG546486,0.3301,2.138
Esrrb,1700010B08Rik,0.3298,2.136
Esrrb,Slc25a24,0.3295,2.135
Esrrb,Errfi1,0.3294,2.135
Esrrb,LOC672449,0.3294,2.135
Esrrb,Gnrh1,0.3292,2.134
Esrrb,4933430I17Rik,0.3291,2.133
Esrrb,Arl4c,0.329,2.133
Esrrb,Nedd9,0.329,2.133
Esrrb,5730409E04Rik,0.3287,2.131
Esrrb,Irak2,0.3286,2.131
Esrrb,Mapkapk2,0.3282,2.129
Esrrb,H2-M10.4,0.328,2.128
Esrrb,Ndel1,0.328,2.128
Esrrb,Cadps,0.328,2.128
Esrrb,Rhoc,0.3279,2.127
Esrrb,Scube3,0.3279,2.127
Esrrb,Kremen1,0.3278,2.127
Esrrb,Wdr1,0.3277,2.126
Esrrb,Lzts1,0.3277,2.126
Esrrb,Bglap-rs1,0.3274,2.125
Esrrb,Gm687,0.3271,2.123
Esrrb,Bag3,0.3271,2.123
Esrrb,Por,0.327,2.123
Esrrb,4930418G15Rik,0.3267,2.121
Esrrb,Cuzd1,0.3266,2.121
Esrrb,Spryd3,0.3264,2.12
Esrrb,Rgs16,0.3263,2.119
Esrrb,Dbndd2,0.3262,2.119
Esrrb,1700125H20Rik,0.3258,2.117
Esrrb,Mrgpre,0.3258,2.117
Esrrb,Tisp22,0.3257,2.116
Esrrb,Frk,0.3256,2.116
Esrrb,LOC670267,0.3254,2.115
Esrrb,Fgfbp3,0.3253,2.114
Esrrb,Hdrpa,0.3253,2.114
Esrrb,Cd27,0.3252,2.114
Esrrb,C78900,0.3251,2.113
Esrrb,Nr1i3,0.3249,2.113
Esrrb,Ceacam9,0.3246,2.111
Esrrb,Pde11a,0.3246,2.111
Esrrb,EG434510,0.324,2.108
Esrrb,Mogat1,0.324,2.108
Esrrb,Skil,0.3239,2.108
Esrrb,Sorcs1,0.3234,2.105
Esrrb,Pwwp2b,0.3232,2.104
Esrrb,Tgfb2,0.3228,2.102
Esrrb,Lmbrd2,0.3228,2.102
Esrrb,Rph3a,0.3228,2.102
Esrrb,Clstn2,0.3226,2.101
Esrrb,Muc3,0.3226,2.101
Esrrb,LOC436571,0.3225,2.101
Esrrb,Uvrag,0.3224,2.1
Esrrb,Dusp4,0.3224,2.1
Esrrb,LOC434635,0.3223,2.1
Esrrb,Kif26a,0.3221,2.099
Esrrb,4833436C18Rik,0.3221,2.099
Esrrb,LOC383631,0.3218,2.097
Esrrb,Olfr1231,0.3217,2.097
Esrrb,Man1a,0.3216,2.097
Esrrb,C4a,0.3216,2.097
Esrrb,Pde2a,0.3215,2.096
Esrrb,Ly6d,0.3212,2.095
Esrrb,Gm340,0.3211,2.094
Esrrb,A930007I19Rik,0.3209,2.093
Esrrb,Adamts18,0.3209,2.093
Esrrb,LOC433203,0.3209,2.093
Esrrb,5330430C04Rik,0.3205,2.091
Esrrb,Dlx6os2,0.3205,2.091
Esrrb,6330527O06Rik,0.3204,2.091
Esrrb,Hoxa2,0.3202,2.09
Esrrb,Gm57,0.3201,2.089
Esrrb,Dtna,0.3201,2.089
Esrrb,LOC676640,0.3198,2.088
Esrrb,Tceal5,0.3196,2.087
Esrrb,Lamb1-1,0.3194,2.086
Esrrb,Gimap6,0.3189,2.084
Esrrb,Opn5,0.3189,2.084
Esrrb,C430049E01Rik,0.3189,2.084
Esrrb,Stbd1,0.3189,2.084
Esrrb,Myo1d,0.3189,2.084
Esrrb,Shh,0.3188,2.083
Esrrb,2310028H24Rik,0.3186,2.082
Esrrb,Cd300lb,0.3183,2.081
Esrrb,EG639653,0.3182,2.08
Esrrb,Myd116,0.3181,2.08
Esrrb,Lrp8,0.3181,2.08
Esrrb,LOC212399,0.3178,2.078
Esrrb,Oit5,0.3178,2.078
Esrrb,Pvr,0.3177,2.078
Esrrb,Pglyrp4,0.3177,2.078
Esrrb,D10Ertd641e,0.3176,2.077
Esrrb,Gm1732,0.3176,2.077
Esrrb,C76662,0.3175,2.077
Esrrb,Cpeb4,0.3175,2.077
Esrrb,D6Wsu116e,0.3169,2.074
Esrrb,Lamc2,0.3168,2.073
Esrrb,1700016G22Rik,0.3168,2.073
Esrrb,Rragc,0.3167,2.073
Esrrb,Clcn6,0.3165,2.072
Esrrb,Myh9,0.3165,2.072
Esrrb,Shroom2,0.3165,2.072
Esrrb,Bcl9l,0.3163,2.071
Esrrb,3830403N18Rik,0.3161,2.07
Esrrb,Ghr,0.3161,2.07
Esrrb,Mn1,0.316,2.07
Esrrb,A430078I02Rik,0.316,2.07
Esrrb,Myom3,0.3159,2.069
Esrrb,St8sia2,0.3157,2.068
Esrrb,Lrtm1,0.3157,2.068
Esrrb,Angpt2,0.3156,2.068
Esrrb,Zfp202,0.3156,2.068
Esrrb,Alx1,0.3155,2.067
Esrrb,Scrn1,0.3152,2.066
Esrrb,LOC623935,0.315,2.065
Esrrb,RP23-149D11.7,0.315,2.065
Esrrb,Brpf3,0.3148,2.064
Esrrb,Shroom4,0.3148,2.064
Esrrb,LOC545743,0.3148,2.064
Esrrb,2900022M12Rik,0.3147,2.063
Esrrb,Syt17,0.3147,2.063
Esrrb,2610024E20Rik,0.3139,2.06
Esrrb,Cd81,0.3139,2.06
Esrrb,Havcr2,0.3138,2.059
Esrrb,Rap2b,0.3138,2.059
Esrrb,Prss22,0.3138,2.059
Esrrb,1700028M03Rik,0.3137,2.059
Esrrb,9530062K07Rik,0.3134,2.057
Esrrb,Bdkrb2,0.3133,2.057
Esrrb,Sts,0.3133,2.057
Esrrb,Fkbp10,0.3131,2.056
Esrrb,Sost,0.3129,2.055
Esrrb,Arhgef3,0.3123,2.052
Esrrb,C530005A16Rik,0.3122,2.052
Esrrb,Lasp1,0.3121,2.051
Esrrb,Prkg1,0.3121,2.051
Esrrb,LOC435396,0.312,2.051
Esrrb,Rdh1,0.3119,2.05
Esrrb,LOC620937,0.3118,2.05
Esrrb,Fsd2,0.3118,2.05
Esrrb,Hgd,0.3115,2.048
Esrrb,Msn,0.3114,2.048
Esrrb,Cln6,0.3114,2.048
Esrrb,Tln1,0.3113,2.047
Esrrb,Igkv14-100,0.3113,2.047
Esrrb,Crtc3,0.3112,2.047
Esrrb,LOC632328,0.3111,2.046
Esrrb,2310047M10Rik,0.3109,2.045
Esrrb,Zfand3,0.3109,2.045
Esrrb,Gne,0.3108,2.045
Esrrb,Cxx1c,0.3108,2.045
Esrrb,EG329070,0.3101,2.042
Esrrb,Gnas,0.3099,2.041
Esrrb,Adamtsl5,0.3098,2.04
Esrrb,Wwc2,0.3097,2.04
Esrrb,9130404D14Rik,0.3096,2.039
Esrrb,Ilk,0.3095,2.039
Esrrb,Pvalb,0.309,2.037
Esrrb,Ghrl,0.3089,2.036
Esrrb,Vgll4,0.3089,2.036
Esrrb,Sh3bgr,0.3088,2.036
Esrrb,Flvcr2,0.3088,2.036
Esrrb,Slc39a7,0.3085,2.034
Esrrb,AI661453,0.3083,2.033
Esrrb,Slc25a21,0.3082,2.033
Esrrb,Olfr257,0.3082,2.033
Esrrb,Gabrb3,0.308,2.032
Esrrb,6430706H07Rik,0.308,2.032
Esrrb,ENSMUSG00000074617,0.3079,2.031
Esrrb,B930095G15Rik,0.3078,2.031
Esrrb,Ssbp3,0.3078,2.031
Esrrb,Tcte3,0.3078,2.031
Esrrb,Rela,0.3078,2.031
Esrrb,6430548M08Rik,0.3077,2.03
Esrrb,Vps37c,0.3072,2.028
Esrrb,Fuca2,0.3072,2.028
Esrrb,Tgfbr2,0.3071,2.028
Esrrb,Gpc4,0.3071,2.028
Esrrb,LOC672174,0.3069,2.027
Esrrb,Cd151,0.3068,2.026
Esrrb,Stac3,0.3067,2.026
Esrrb,Foxe1,0.3064,2.024
Esrrb,5033428I22Rik,0.3063,2.024
Esrrb,Qser1,0.3062,2.023
Esrrb,Cdh2,0.3061,2.023
Esrrb,Gm347,0.3061,2.023
Esrrb,Limk2,0.306,2.023
Esrrb,Dok5,0.3057,2.021
Esrrb,Trp73,0.3056,2.021
Esrrb,Wisp1,0.3055,2.02
Esrrb,Vmn2r-ps11,0.3053,2.019
Esrrb,1700009N14Rik,0.3053,2.019
Esrrb,Apoe,0.3053,2.019
Esrrb,1700018L24Rik,0.3052,2.019
Esrrb,9930111J21Rik,0.3051,2.018
Esrrb,4930546C10Rik,0.3051,2.018
Esrrb,LOC671225,0.305,2.018
Esrrb,BC043301,0.3048,2.017
Esrrb,1500002C15Rik,0.3047,2.016
Esrrb,Gm1332,0.3045,2.016
Esrrb,Endod1,0.3044,2.015
Esrrb,Rnf217,0.3044,2.015
Esrrb,Lama5,0.3042,2.014
Esrrb,Slc12a5,0.3042,2.014
Esrrb,Hlx,0.3041,2.014
Esrrb,Eapa2,0.3041,2.014
Esrrb,Mtmr4,0.304,2.013
Esrrb,Dnmt3l,0.3037,2.012
Esrrb,EG628571,0.3037,2.012
Esrrb,Arl8a,0.3034,2.01
Esrrb,EG666920,0.3032,2.01
Esrrb,Epha2,0.3032,2.01
Esrrb,4930428N03Rik,0.3031,2.009
Esrrb,LOC619634,0.303,2.009
Esrrb,Zmynd10,0.3029,2.008
Esrrb,EG386506,0.3025,2.006
Esrrb,Zhx1,0.3024,2.006
Esrrb,Col4a6,0.3024,2.006
Esrrb,4632412N22Rik,0.3023,2.005
Esrrb,A930035D04Rik,0.3021,2.004
Esrrb,Fat1,0.3017,2.003
Esrrb,Itgb1,0.3015,2.002
Esrrb,Ttll8,0.3015,2.002
Esrrb,Sdc3,0.3015,2.002
Esrrb,Cdh18,0.3012,2
Esrrb,Phldb1,0.3012,2
Esrrb,LOC672496,0.3011,2
Esrrb,D930001I22Rik,-0.3011,0.4999
Esrrb,Athl1,-0.3012,0.4998
Esrrb,Gltpd2,-0.3016,0.4993
Esrrb,F830001A07Rik,-0.3018,0.4991
Esrrb,Trf,-0.3019,0.4989
Esrrb,OTTMUSG00000001088,-0.3023,0.4985
Esrrb,LOC213320,-0.3026,0.4981
Esrrb,Vil1,-0.3027,0.498
Esrrb,Tep1,-0.3027,0.498
Esrrb,Nrg4,-0.3028,0.4979
Esrrb,4933433K01Rik,-0.3029,0.4978
Esrrb,Olfr577,-0.3033,0.4973
Esrrb,Zfp174,-0.3036,0.497
Esrrb,Clec4g,-0.3037,0.4969
Esrrb,Polr3gl,-0.3037,0.4969
Esrrb,EG626231,-0.3038,0.4968
Esrrb,Fhod3,-0.3039,0.4967
Esrrb,Elavl3,-0.3039,0.4967
Esrrb,Rps24,-0.3042,0.4963
Esrrb,Rps4x,-0.3044,0.4961
Esrrb,1700029I01Rik,-0.3044,0.4961
Esrrb,5930435M05Rik,-0.3045,0.496
Esrrb,Plekha4,-0.3054,0.4949
Esrrb,Gdpd3,-0.3055,0.4948
Esrrb,Slc16a5,-0.3056,0.4947
Esrrb,Zmym3,-0.3064,0.4938
Esrrb,Dnahc2,-0.3065,0.4937
Esrrb,D430041D05Rik,-0.3065,0.4937
Esrrb,LOC667337,-0.3068,0.4934
Esrrb,Ssbp4,-0.3068,0.4934
Esrrb,Tubb2b,-0.3068,0.4934
Esrrb,Olfr1280,-0.3069,0.4932
Esrrb,6720467L15Rik,-0.3071,0.493
Esrrb,Tmco2,-0.3072,0.4929
Esrrb,Rfx2,-0.3073,0.4928
Esrrb,Acss2,-0.3073,0.4928
Esrrb,Vrk1,-0.3078,0.4922
Esrrb,Tm7sf2,-0.3078,0.4922
Esrrb,B3galnt1,-0.3078,0.4922
Esrrb,Ccnb1ip1,-0.3079,0.4921
Esrrb,Saal1,-0.3082,0.4918
Esrrb,Icam4,-0.3084,0.4915
Esrrb,Lix1l,-0.3085,0.4914
Esrrb,Odf4,-0.3092,0.4906
Esrrb,Mppe1,-0.3093,0.4905
Esrrb,Slc4a8,-0.3095,0.4903
Esrrb,Mbl2,-0.3095,0.4903
Esrrb,Gstm7,-0.3097,0.4901
Esrrb,4930455B14Rik,-0.3101,0.4896
Esrrb,Adcyap1r1,-0.3104,0.4893
Esrrb,LOC622988,-0.3106,0.4891
Esrrb,D16Ertd472e,-0.3111,0.4885
Esrrb,Peg12,-0.3114,0.4882
Esrrb,Phf11,-0.3114,0.4882
Esrrb,BC038167,-0.3118,0.4877
Esrrb,Gca,-0.3123,0.4871
Esrrb,2900002K06Rik,-0.3124,0.487
Esrrb,Ctnnal1,-0.3125,0.4869
Esrrb,Cc2d2a,-0.3125,0.4869
Esrrb,Acsbg2,-0.3127,0.4867
Esrrb,Fbxo15,-0.3129,0.4865
Esrrb,Tmem145,-0.3131,0.4862
Esrrb,Alox12,-0.3132,0.4861
Esrrb,G0s2,-0.3134,0.4859
Esrrb,2900083I11Rik,-0.3134,0.4859
Esrrb,Olfr926,-0.3136,0.4857
Esrrb,Lsm3,-0.3137,0.4856
Esrrb,Cga,-0.3138,0.4855
Esrrb,Ccdc113,-0.314,0.4852
Esrrb,Slc5a2,-0.3143,0.4849
Esrrb,4930519N13Rik,-0.3149,0.4842
Esrrb,Blnk,-0.3152,0.4839
Esrrb,Dtx3l,-0.3152,0.4839
Esrrb,LOC383826,-0.3152,0.4839
Esrrb,C230035I16Rik,-0.3153,0.4838
Esrrb,Mlph,-0.3158,0.4832
Esrrb,ENSMUSG00000073728,-0.3159,0.4831
Esrrb,C230071H18Rik,-0.3159,0.4831
Esrrb,Tjp3,-0.316,0.483
Esrrb,E230001N04Rik,-0.3164,0.4826
Esrrb,5730405O15Rik,-0.3171,0.4818
Esrrb,2810408I11Rik,-0.3171,0.4818
Esrrb,1110021L09Rik,-0.3175,0.4813
Esrrb,P2ry6,-0.3175,0.4813
Esrrb,C130031E09Rik,-0.3175,0.4813
Esrrb,B930042K01Rik,-0.3176,0.4812
Esrrb,Cphx,-0.3177,0.4811
Esrrb,Vegfa,-0.3179,0.4809
Esrrb,2410076I21Rik,-0.318,0.4808
Esrrb,Hbq1,-0.3181,0.4807
Esrrb,Gm249,-0.3181,0.4807
Esrrb,Tdgf1,-0.3182,0.4806
Esrrb,Ankrd9,-0.3182,0.4806
Esrrb,EG435562,-0.3183,0.4805
Esrrb,Lctl,-0.3184,0.4803
Esrrb,Rpl3l,-0.3187,0.48
Esrrb,AW549542,-0.3191,0.4796
Esrrb,Acaa1b,-0.3193,0.4794
Esrrb,Fcer1a,-0.3197,0.4789
Esrrb,Slc7a9,-0.32,0.4786
Esrrb,Zc3h12a,-0.3202,0.4784
Esrrb,Ptch2,-0.3202,0.4784
Esrrb,Aifm3,-0.3203,0.4782
Esrrb,LOC245202,-0.3204,0.4781
Esrrb,Trps1,-0.3204,0.4781
Esrrb,Ly6g5c,-0.3204,0.4781
Esrrb,Pax6,-0.3206,0.4779
Esrrb,Acp6,-0.3207,0.4778
Esrrb,Cpsf4l,-0.3207,0.4778
Esrrb,Slc13a5,-0.3208,0.4777
Esrrb,4933405L10Rik,-0.3209,0.4776
Esrrb,Pbk,-0.3214,0.477
Esrrb,Dppa5a,-0.3215,0.4769
Esrrb,Tnfsf12-tnfsf13,-0.3219,0.4765
Esrrb,Mical3,-0.3219,0.4765
Esrrb,Gjc2,-0.3222,0.4762
Esrrb,Sept1,-0.3222,0.4762
Esrrb,Zbtb32,-0.3224,0.4759
Esrrb,Nmnat2,-0.3228,0.4755
Esrrb,D330027H18Rik,-0.3231,0.4752
Esrrb,9530091C08Rik,-0.3232,0.4751
Esrrb,LOC382740,-0.3233,0.475
Esrrb,Derl3,-0.3238,0.4744
Esrrb,Psph,-0.3238,0.4744
Esrrb,Otop2,-0.3239,0.4743
Esrrb,Nod2,-0.3242,0.474
Esrrb,Wdr12,-0.3242,0.474
Esrrb,Olfml2a,-0.3244,0.4738
Esrrb,5730419I09Rik,-0.3245,0.4736
Esrrb,P2ry12,-0.3246,0.4735
Esrrb,Icam5,-0.325,0.4731
Esrrb,4933437F05Rik,-0.3252,0.4729
Esrrb,6430527G18Rik,-0.3252,0.4729
Esrrb,Acyp2,-0.3253,0.4728
Esrrb,F730043M19Rik,-0.3254,0.4727
Esrrb,Acoxl,-0.3256,0.4724
Esrrb,Tst,-0.3257,0.4723
Esrrb,Klf17,-0.326,0.472
Esrrb,6330514A18Rik,-0.326,0.472
Esrrb,Rab6b,-0.3263,0.4717
Esrrb,Hpgd,-0.3268,0.4711
Esrrb,Polr3e,-0.3271,0.4708
Esrrb,Angel1,-0.3275,0.4704
Esrrb,A830025M08,-0.3279,0.47
Esrrb,LOC433426,-0.3279,0.47
Esrrb,BB146404,-0.3282,0.4696
Esrrb,1700067K01Rik,-0.3289,0.4689
Esrrb,Mtl5,-0.3289,0.4689
Esrrb,4930589O11Rik,-0.3291,0.4687
Esrrb,Rhox4a,-0.3292,0.4685
Esrrb,Gls2,-0.3294,0.4683
Esrrb,D430041B17Rik,-0.3294,0.4683
Esrrb,LOC623738,-0.3298,0.4679
Esrrb,Piga,-0.33,0.4677
Esrrb,Hist1h2aa,-0.3303,0.4674
Esrrb,Batf,-0.3303,0.4674
Esrrb,Qprt,-0.3303,0.4674
Esrrb,Tsix,-0.3305,0.4671
Esrrb,Cxcl14,-0.3308,0.4668
Esrrb,Stat4,-0.3309,0.4667
Esrrb,Ampd3,-0.3311,0.4665
Esrrb,1110008L16Rik,-0.3311,0.4665
Esrrb,Atp4a,-0.3314,0.4662
Esrrb,3632451O06Rik,-0.3316,0.466
Esrrb,1110002O04Rik,-0.3317,0.4659
Esrrb,Zdhhc19,-0.3318,0.4658
Esrrb,Rft1,-0.332,0.4655
Esrrb,Olfr1020,-0.3322,0.4653
Esrrb,B830017H08Rik,-0.3323,0.4652
Esrrb,Defb11,-0.3327,0.4648
Esrrb,Napepld,-0.3331,0.4644
Esrrb,Ppp2r2c,-0.3333,0.4641
Esrrb,C80913,-0.3333,0.4641
Esrrb,2610301H18Rik,-0.3338,0.4636
Esrrb,Mpz,-0.3339,0.4635
Esrrb,1700065D16Rik,-0.3341,0.4633
Esrrb,Tpmt,-0.3343,0.4631
Esrrb,Calca,-0.3345,0.4629
Esrrb,Sult2b1,-0.3345,0.4629
Esrrb,Adpgk,-0.3346,0.4628
Esrrb,OTTMUSG00000022410,-0.3353,0.462
Esrrb,Btbd11,-0.3358,0.4615
Esrrb,Art1,-0.3358,0.4615
Esrrb,Scgb3a1,-0.3362,0.4611
Esrrb,Zfp710,-0.337,0.4602
Esrrb,Zfp536,-0.3375,0.4597
Esrrb,Spp1,-0.3376,0.4596
Esrrb,Aqp8,-0.3376,0.4596
Esrrb,Rab33a,-0.3377,0.4595
Esrrb,Prkag1,-0.3378,0.4594
Esrrb,EG237009,-0.338,0.4591
Esrrb,Rshl3,-0.3385,0.4586
Esrrb,2310002J15Rik,-0.3388,0.4583
Esrrb,Crygf,-0.3391,0.458
Esrrb,Gsg2,-0.3393,0.4578
Esrrb,Otx2os1,-0.3394,0.4577
Esrrb,Triml2,-0.34,0.457
Esrrb,Tuba3a,-0.34,0.457
Esrrb,LOC436022,-0.3401,0.4569
Esrrb,Ifitm6,-0.3406,0.4564
Esrrb,Tcf15,-0.3407,0.4563
Esrrb,Tsn,-0.341,0.456
Esrrb,2310057B04Rik,-0.3413,0.4557
Esrrb,Rnf125,-0.3414,0.4556
Esrrb,4930430E16Rik,-0.3416,0.4554
Esrrb,Mfi2,-0.3418,0.4551
Esrrb,Zkscan2,-0.3423,0.4546
Esrrb,Atp12a,-0.3428,0.4541
Esrrb,Hfe,-0.3429,0.454
Esrrb,Parp12,-0.343,0.4539
Esrrb,Npw,-0.3431,0.4538
Esrrb,1810059H22Rik,-0.3432,0.4537
Esrrb,Tspan1,-0.3439,0.453
Esrrb,Ndg2,-0.3439,0.453
Esrrb,Rbp4,-0.344,0.4528
Esrrb,Tas2r131,-0.3442,0.4526
Esrrb,Hormad2,-0.3445,0.4523
Esrrb,4930433N12Rik,-0.3446,0.4522
Esrrb,A830035A12Rik,-0.3446,0.4522
Esrrb,Col9a2,-0.3446,0.4522
Esrrb,Six1,-0.3452,0.4516
Esrrb,Ivns1abp,-0.3453,0.4515
Esrrb,4931417G12Rik,-0.3458,0.451
Esrrb,Odz4,-0.3463,0.4505
Esrrb,Rhd,-0.3466,0.4501
Esrrb,Dazl,-0.3468,0.4499
Esrrb,Atf7ip2,-0.3469,0.4498
Esrrb,H2-DMb1,-0.3469,0.4498
Esrrb,Pde8a,-0.3483,0.4484
Esrrb,Ky,-0.3486,0.4481
Esrrb,EG627821,-0.3489,0.4478
Esrrb,Ppef2,-0.349,0.4477
Esrrb,5430433E21Rik,-0.3492,0.4475
Esrrb,Foxd3,-0.3494,0.4473
Esrrb,2010001J22Rik,-0.3494,0.4473
Esrrb,Fgf10,-0.3495,0.4471
Esrrb,Ttll6,-0.3505,0.4461
Esrrb,4933406E20Rik,-0.3508,0.4458
Esrrb,Adrb1,-0.3511,0.4455
Esrrb,Pcyt1b,-0.3513,0.4453
Esrrb,Ppp1r14d,-0.3516,0.445
Esrrb,Map2k6,-0.3516,0.445
Esrrb,Myo1g,-0.3519,0.4447
Esrrb,RP23-67E6.3,-0.352,0.4446
Esrrb,Arl5c,-0.3524,0.4442
Esrrb,Cryba4,-0.3525,0.4441
Esrrb,Fbxo16,-0.3528,0.4438
Esrrb,1700028K03Rik,-0.3535,0.443
Esrrb,Rhox4f,-0.3539,0.4426
Esrrb,4732490B19Rik,-0.3543,0.4422
Esrrb,Clnk,-0.3545,0.442
Esrrb,6430517E21Rik,-0.3546,0.4419
Esrrb,Atp2b3,-0.3548,0.4417
Esrrb,Ptchd3,-0.3548,0.4417
Esrrb,Dgke,-0.3549,0.4416
Esrrb,E130120C16Rik,-0.3551,0.4414
Esrrb,2810021B07Rik,-0.3552,0.4413
Esrrb,2810417H13Rik,-0.3553,0.4412
Esrrb,2310046K01Rik,-0.3553,0.4412
Esrrb,Mtap1a,-0.3553,0.4412
Esrrb,Myo5c,-0.3555,0.441
